ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Compactness	AreaShape_Eccentricity	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MedianRadius	AreaShape_Perimeter	AreaShape_Solidity	Children_Cytoplasm_Norm_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_nuclei
4	8			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	7918	421.0	385.0	1.0	1.59526781697098	0.8511895053526902	1.0	0.4111965101786456	0.03706013738785642	158.51944888850997	172.66151858477326	32.2490309931942	5.656854249492381	1638.5479999999943	0.5816498934841695	1	402.34453144733516	382.71078555190707	0	8	8
4	9			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	1754	289.0	377.0	1.0	1.639675290614326	0.7605016816116706	1.0	0.37518716577540107	0.04051725653568142	71.70514608756437	84.09518416651456	11.180339887498949	2.0	737.5639999999978	0.5413580246913581	1	283.115165336374	374.41676168757124	0	9	9
4	10			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	2029	196.0	419.0	1.0	2.9518632875424924	0.7691933160722851	1.0	0.232630130703967	0.014887109364673697	103.91551471652276	99.76472322419383	6.4031242374328485	1.0	1308.7019999999957	0.3314547088131994	1	175.84869393790044	423.075899457861	0	10	10
4	11			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	1564	262.0	423.0	1.0	2.3406288400658837	0.8449867900864116	1.0	0.32542655014565125	0.03018790794893176	85.04072304503572	88.81441324469807	8.246211251235321	1.4142135623730951	806.8759999999976	0.4373601789709172	1	259.18158567774935	427.31202046035804	0	11	11
4	12			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	2381	337.0	442.0	1.0	2.191420596773686	0.7443178573515757	1.0	0.29769942485621403	0.017890635920071802	95.72825196342639	123.0690862889621	7.0710678118654755	1.4142135623730951	1293.217999999996	0.3956463941508807	1	341.322553548929	434.61864762704744	0	12	12
4	13			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	1928	493.0	434.0	1.0	1.543300508892874	0.7733571606677098	1.0	0.43112701252236135	0.05770380004653666	73.44386572133222	85.98837130682264	14.142135623730951	2.8284271247461903	647.9719999999982	0.5936874518860662	1	494.4942946058091	439.9626556016598	0	13	13
4	14			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	1293	439.0	532.0	1.0	4.004233320128959	0.9197233241161803	1.0	0.21915254237288134	0.024135570554102162	106.72966229548526	100.90094152187085	4.47213595499958	1.4142135623730951	820.4939999999978	0.3408911152122331	1	430.7587006960557	528.5514307811292	0	14	14
4	15			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	1943	663.0	529.0	1.0	1.8232891776068767	0.8213901330757578	1.0	0.4260964912280702	0.04280543320370355	82.41013670441104	84.50443775329198	12.806248474865697	2.0	755.2519999999977	0.5277023356871265	1	648.9114770972723	530.2753474009264	0	15	15
4	16			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	1522	1002.0	590.0	1.0	2.5330604084798543	0.7692971046751766	1.0	0.26758087201125175	0.031077441940098004	83.3987983279809	94.86832980505137	7.810249675906654	1.4142135623730951	784.4939999999979	0.40285865537321336	1	1006.5795006570302	592.637976346912	0	16	16
4	17			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	1620	911.0	596.0	1.0	1.3994644857129597	0.7012699859328579	1.0	0.4326923076923077	0.09299023643447017	61.82264363693758	72.18032973047436	13.92838827718412	3.0	467.8899999999988	0.587701795755487	1	913.5956790123457	597.5086419753086	0	17	17
4	18			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	2541	1218.0	602.0	1.0	1.1853456695738462	0.6625449014579612	1.0	0.49483933787731255	0.15788249754823122	70.02646557026051	85.58621384311844	18.439088914585774	5.0990195135927845	449.7179999999989	0.7119641356122162	1	1226.0920897284534	602.6580086580086	0	18	18
4	19			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	4121	1143.0	653.0	1.0	1.5705699939043938	0.6179054447659061	1.0	0.3632117045654856	0.029181231250678855	100.77433419672856	123.5556554755791	22.20360331117452	3.0	1332.1539999999954	0.5279272354599026	1	1141.9301140499879	666.1878184906576	0	19	19
4	20			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	1737	1271.0	694.0	1.0	2.1842639310747733	0.48887172221507325	1.0	0.26151761517615174	0.025407432820563403	73.98582377441478	81.58431221748455	7.615773105863909	1.4142135623730951	926.8819999999974	0.4166966534724721	1	1264.5676453655728	687.2153137593552	0	20	20
5	1			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	13	A01	A01	44195	1236.0	334.0	1.0	1.5132269555378906	0.9086900577478552	1.0	0.6154606729055259	0.13077070586111578	379.98493036143105	391.2198870200747	71.30918594402827	26.0	2060.8019999999947	0.854835589941973	1	1239.2698495304899	332.66693064826336	0	1	1
5	2			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	13	A01	A01	32995	1250.0	567.0	1.0	1.1581512390940338	0.6220585422694999	1.0	0.546754602548594	0.13158354536918682	245.1053382673556	274.0456166407337	77.78174593052023	22.090722034374522	1775.1219999999953	0.8044617822747775	1	1248.0089407485982	550.3798454311259	0	2	2
5	3			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	13	A01	A01	26753	1179.0	700.0	1.0	1.3240494160641958	0.8684407036741937	1.0	0.6164285714285714	0.210812665471423	268.5219431811977	297.75325355065394	62.03224967708329	21.213203435596427	1262.8239999999964	0.897781804758549	1	1197.922849773857	694.6918102642694	0	3	3
5	4			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	13	A01	A01	21613	1251.0	816.0	1.0	1.243668892885459	0.7253532648669825	1.0	0.5518024918300654	0.1801370984279556	215.07214976500526	242.1425200166216	60.92618484691127	17.204650534085253	1227.8939999999966	0.8275135921586645	1	1260.5939480867996	831.1480590385416	0	4	4
6	1			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	14	A01	A01	29635	479.0	492.0	1.0	1.3973487998820637	0.8806196188995743	1.0	0.5595521317170802	0.10579245137923662	292.83733068101054	306.8110167513546	66.06814663663572	20.248456731316587	1876.2039999999945	0.886412921558364	1	446.47578876328663	506.95471570777795	0	1	1
6	2			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	14	A01	A01	32395	480.0	639.0	1.0	1.24466994138246	0.7848875219016768	1.0	0.6133093525179856	0.11438126403564279	271.8105318448931	291.8715470887836	71.16881339463234	21.587033144922902	1886.5419999999947	0.837642860836738	1	448.5745331069609	640.7635437567526	0	2	2
7	1			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	15	A01	A01	13867	421.0	298.0	1.0	1.023499125774896	0.2059997657738788	1.0	0.673482272948033	0.12766933611706643	135.63367176728906	153.93505123915085	57.14017850864661	16.278820596099706	1168.295999999997	0.8815638906547998	1	423.34802048027694	299.1988894497728	0	1	1
7	2			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	15	A01	A01	38139	100.0	350.0	1.0	1.5119150964026873	0.9030571707778963	1.0	0.5743046876176422	0.07722200184613262	351.32396605670806	370.84363281577316	76.96752561957543	23.08679276123039	2491.260000000009	0.8302096258081371	1	158.49083615197043	351.6654343323108	0	2	2
7	3			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	15	A01	A01	33412	426.0	489.0	1.0	1.5944235973730716	0.7949119560958611	1.0	0.40330738125414933	0.026565253484449592	314.21649915428384	316.46958779636316	62.76941930590086	13.92838827718412	3975.5680000000693	0.6355837090300366	1	450.7161199569017	510.54516341434214	0	3	3
7	4			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	15	A01	A01	39837	202.0	576.0	1.0	1.375733033372534	0.8849794581859293	1.0	0.5928125	0.1696118681658538	337.9316012987283	347.66938317890464	69.1158447825099	27.16615541441225	1717.9879999999948	0.8191183122918123	1	147.92293596405352	562.4872354845998	0	4	4
7	5			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	15	A01	A01	72804	974.0	657.0	1.0	1.0825383682223317	0.7061807587319804	1.0	0.6211521397856802	0.031645585848878575	364.8177057598583	389.08225351460067	112.0714058089752	31.953090617340916	5376.826000000028	0.8445645743187592	1	978.8585105213999	662.1010384044832	0	5	5
7	6			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	15	A01	A01	48050	1045.0	944.0	1.0	1.0653934352087893	0.618223464472967	1.0	0.6973470335539301	0.19094523679849087	283.2586049229542	340.3527581789224	103.1746092796091	34.0	1778.2679999999946	0.8769848512502282	1	1051.1603746097815	934.7235379812695	0	6	6
8	1			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	16	A01	A01	25483	558.0	148.0	1.0	1.3335287322719125	0.8790744692104345	1.0	0.6259641365757799	0.34480463493097274	264.9928546780657	277.4058398808504	62.51399843235114	23.0	963.7039999999972	0.9481164542833226	1	551.4617980614528	118.08374210257819	0	1	1
8	2			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	16	A01	A01	13257	446.0	117.0	1.0	1.5228432592483878	0.8745668172575213	1.0	0.5300679728108757	0.24145472719885475	203.61980070203012	220.61731573020282	43.56604182158393	13.038404810405298	830.6339999999976	0.7908960744541225	1	450.0412612204873	104.37180357546956	0	2	2
8	3			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	16	A01	A01	16599	322.0	154.0	1.0	1.0536165650475868	0.6053557558927795	1.0	0.6923461939520333	0.37681418108173936	164.80677588616163	175.03428235634297	60.802960454241045	18.384776310850235	744.0159999999975	0.9029538160256759	1	320.102114585216	157.0528345081029	0	3	3
8	4			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	16	A01	A01	3730	567.0	311.0	1.0	1.0355002425332391	0.42367460396909107	1.0	0.5757949984563137	0.354860800623635	73.41855745766945	82.56512580987206	30.4138126514911	9.219544457292887	363.43799999999925	0.8730251609128147	1	566.9335120643432	311.2085790884718	0	4	4
8	5			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	16	A01	A01	15317	76.0	358.0	1.0	1.0659845419345757	0.7145907531243527	1.0	0.7297979797979798	0.8216477582938082	166.77379452186545	166.00301202086666	57.28001396647874	19.697715603592208	484.00399999999826	0.9777224562747352	1	83.36606385062349	362.20663315270616	0	5	5
8	6			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	16	A01	A01	11179	707.0	357.0	1.0	1.3018169982133005	0.8745456062735553	1.0	0.6006339995701698	0.7124861994547718	172.89523039167588	171.4788616710526	39.81205847478876	15.231546211727817	444.03599999999847	0.9644967861610801	1	692.7909473119241	348.208158153681	0	6	6
8	7			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	16	A01	A01	20942	501.0	387.0	1.0	1.1785957227964479	0.642258847742728	1.0	0.5108926349686517	0.05825220096500435	198.58587604940968	228.0548179714693	61.0	14.035668847618199	2125.4839999999976	0.7788314924318496	1	503.8404163881196	400.2608633368351	0	7	7
8	8			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	16	A01	A01	8051	853.0	387.0	1.0	1.0367644798818227	0.6233281198464141	1.0	0.7916420845624386	0.8673143709702764	114.66633863508899	114.84337159801605	44.14748010928823	14.560219778561036	341.5399999999991	0.9812907550734351	1	857.5338467271147	384.6298596447646	0	8	8
8	9			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	16	A01	A01	12875	86.0	633.0	1.0	1.0592878398819927	0.6935961188663124	1.0	0.7855399633923124	0.8420365284516741	150.94029293563477	151.92103211866353	54.230987451824994	18.027756377319946	438.3419999999986	0.9791246815468273	1	91.81545631067961	634.1808932038834	0	9	9
8	10			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	16	A01	A01	13191	357.0	639.0	1.0	1.027873852258412	0.5432587049137573	1.0	0.729994465965689	0.7731398680843833	142.0560034006368	140.2355161861645	51.62363799656123	17.4928556845359	463.0359999999985	0.9649244724040815	1	367.0244863922371	634.6825108028202	0	10	10
9	1			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	17	A01	A01	31646	1333.0	144.0	1.0	1.290294819393663	0.8621360817249986	1.0	0.5656728156728157	0.13096318205765797	287.03820459680946	316.8911485037094	70.7248188403477	24.351591323771842	1742.5679999999952	0.8863308546541754	1	1284.7667951715857	173.6501927573785	0	1	1
9	2			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	17	A01	A01	25239	937.0	265.0	1.0	1.1983998792755404	0.7940559421908481	1.0	0.5347698957538775	0.12381363666092252	236.6723621861908	271.0903908293321	74.0	20.518284528683193	1600.5039999999951	0.8753511601290188	1	954.0499227386188	252.14220056262133	0	2	2
9	3			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	17	A01	A01	27051	1152.0	365.0	1.0	1.6559315343827692	0.9333272530046164	1.0	0.4061711711711712	0.06180386566266105	317.19376252691046	355.58402663786796	62.93647591023825	16.64331697709324	2345.248000000003	0.8374922600619196	1	1132.8316143580644	381.6535802742967	0	3	3
9	4			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	17	A01	A01	28216	526.0	438.0	1.0	1.2612290832868227	0.8016289152812575	1.0	0.5430644571472564	0.0653585170065211	257.8478809343882	266.3775516067373	63.198101237299845	18.601075237738275	2329.172000000006	0.8343362360838003	1	522.420435214063	421.91582789906437	0	4	4
9	5			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	17	A01	A01	27925	705.0	569.0	1.0	1.2943611471083185	0.848755727248139	1.0	0.4906180821532731	0.059989261037265255	267.64063437356685	298.7189314389029	58.137767414994535	18.0	2418.6040000000094	0.8309898971863887	1	696.7150940017905	560.1117994628469	0	5	5
9	6			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	17	A01	A01	30449	388.0	662.0	1.0	1.0753022807044998	0.5927293729897651	1.0	0.5012841197194692	0.12299826783994096	224.42384958712387	250.57733337235433	76.8505042273634	22.47220505424423	1763.7699999999936	0.8526981993335013	1	380.24013924923645	651.3099609182567	0	6	6
9	7			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	17	A01	A01	66961	148.0	641.0	1.0	1.2313902964254715	0.7075505041312695	1.0	0.6081282354009627	0.06417014311591972	373.39013576300243	434.5779561827774	108.37435120913067	28.071337695236398	3621.174000000058	0.7671535773615168	1	176.2326130135452	650.8677140425024	0	7	7
9	8			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	17	A01	A01	10189	811.0	689.0	1.0	1.0288030921099414	0.41151230963088525	1.0	0.6741877853503606	0.20556627437350286	120.55043962350511	129.1200991325518	50.28916384272063	14.7648230602334	789.2139999999981	0.8986593755512433	1	806.7997840808715	694.7031111983512	0	8	8
9	9			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	17	A01	A01	9774	812.0	814.0	1.0	1.0547394491560302	0.38734252966752103	1.0	0.5758218451749735	0.09878486229248389	118.92425802494218	137.44089638822936	47.51841748206689	13.038404810405298	1115.0539999999971	0.8532518550851157	1	816.0150399017803	815.6332105586249	0	9	9
9	10			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	17	A01	A01	27629	469.0	867.0	1.0	1.4155990950133497	0.8897132587679857	1.0	0.5862917771883289	0.1097182308082043	286.48512925012074	324.49961479175903	63.7808748764079	19.4164878389476	1778.8859999999947	0.8690004403346542	1	473.3014586123276	867.8757103043903	0	10	10
9	11			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	17	A01	A01	77491	644.0	919.0	1.0	1.2358412110769217	0.8015421219641843	1.0	0.6319811443857245	0.17650959291333412	422.8925454288913	409.46428415675035	107.33126291998991	36.05551275463989	2348.8020000000038	0.8767735511755786	1	627.6444877469642	861.6000051618897	0	11	11
10	1			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	18	A01	A01	46716	877.0	105.0	1.0	1.257822740383443	0.8222764298482302	1.0	0.6415622940013184	0.13301389174267433	335.4671711761303	341.3693014903361	77.88452991448301	28.071337695236398	2100.8219999999974	0.818136443638847	1	881.0241673088449	144.6958001541228	0	1	1
10	2			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	18	A01	A01	35939	688.0	168.0	1.0	1.142295360967816	0.6409266432707947	1.0	0.6508801796580701	0.18889471097909566	255.94310454931318	279.0286723618202	82.56512580987206	24.186773244895647	1546.2439999999963	0.9010542678416968	1	686.2673975347116	180.57221959431257	0	2	2
10	3			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	18	A01	A01	39650	1098.0	297.0	1.0	1.1432208227680087	0.7524772740254878	1.0	0.6038316276803118	0.06650144894687765	283.13742033893374	305.62885989382613	85.0235261559999	25.942243542145693	2737.22800000002	0.8814441011048619	1	1090.3269861286255	298.655132408575	0	3	3
10	4			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	18	A01	A01	23713	692.0	318.0	1.0	1.4417110652517495	0.8849026531382614	1.0	0.5421849277483081	0.35549396418695467	266.9105007397289	313.6000637755037	60.00833275470999	19.1049731745428	915.5499999999963	0.9261443524449307	1	690.8855058406781	306.7905368363345	0	4	4
10	5			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	18	A01	A01	47941	601.0	415.0	1.0	2.3586267948233686	0.9594998794280326	1.0	0.4751808900783031	0.06750944050266795	515.3212399046439	576.7122332671642	70.00714249274856	20.0	2987.282000000028	0.7082225373751699	1	588.4268580129743	497.8296864896435	0	5	5
10	6			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	18	A01	A01	29581	756.0	438.0	1.0	1.3759445425957648	0.8448052886654661	1.0	0.5293664996420901	0.06361741004274163	283.26433059871465	303.77129554979354	63.50590523722971	18.110770276274835	2417.2600000000057	0.7496357116610282	1	771.0510800851898	444.1329569656198	0	6	6
10	7			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	18	A01	A01	12036	1225.0	460.0	1.0	1.0365191552785853	0.6285096386721823	1.0	0.7535687453042825	0.8628099894792449	140.44426721908883	140.91131963046828	54.70831746635972	17.88854381999832	418.6859999999989	0.9857493857493861	1	1220.201146560319	463.82743436357595	0	7	7
10	8			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	18	A01	A01	9678	896.0	465.0	1.0	1.3317555650565482	0.8377888391580001	1.0	0.5478940217391305	0.07825447569609921	158.72377333259058	191.3765920900464	45.89117562233506	12.806248474865697	1246.6459999999965	0.7976264062306838	1	891.9483364331473	481.4741682165737	0	8	8
10	9			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	18	A01	A01	13132	78.0	766.0	1.0	1.047869471205171	0.6751791083541362	1.0	0.764555193292967	0.6292615365364409	150.37252113524045	151.2679741386127	54.74486277268398	18.439088914585774	512.0999999999988	0.9748348303763639	1	81.19859884252209	767.2496954005483	0	9	9
10	10			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	18	A01	A01	10245	923.0	894.0	1.0	1.087644635770881	0.7435117121996493	1.0	0.7982702197288453	0.8113770339568119	139.78484539590292	139.21566003866087	45.70557952810576	15.811388300841896	398.33599999999893	0.9768306636155608	1	927.8714494875549	893.570326988775	0	10	10
10	11			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	18	A01	A01	54118	1213.0	940.0	1.0	1.6926875444223048	0.9201220792797493	1.0	0.5104219719691396	0.19814478964246235	448.7121696743987	478.10145366857023	87.80091115700337	27.16615541441225	1852.6119999999946	0.888163131333853	1	1233.0514246646217	878.3309804501275	0	11	11
