ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Perimeter	AreaShape_Solidity	Children_SG_Count	Intensity_IntegratedIntensity_Caprin1	Intensity_IntegratedIntensity_GFP	Intensity_MeanIntensity_Caprin1	Intensity_MeanIntensity_GFP	Intensity_MedianIntensity_Caprin1	Intensity_MedianIntensity_GFP	Intensity_StdIntensity_Caprin1	Intensity_StdIntensity_GFP	Location_Center_X	Location_Center_Y	Mean_SG_Distance_Centroid_Cytoplasm_Norm	Mean_SG_Distance_Minimum_Cytoplasm_Norm	Mean_SG_Location_Center_X	Mean_SG_Location_Center_Y	Mean_SG_Location_Center_Z	Mean_SG_Number_Object_Number	Number_Object_Number	Parent_cell	Parent_nuclei
1	1			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	488	1187.0	147.0	1.0	807.8179999999969	0.04473370611421762	0	1.6425116397440434	0.7129777979571372	0.003365802540459105	0.001461020077781019	0.0033264667727053165	0.0014648661017417908	0.00040073783209067064	4.8921015140852556e-05	1196.985655737705	99.31762295081967							1	1	1
1	2			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	18008	799.0	63.0	1.0	1405.6119999999949	0.6420307681337684	0	79.09312701178715	59.68366571562365	0.004392110562627007	0.003314286190338941	0.004165713209658861	0.0031128404662013054	0.0012761613283056757	0.0009880070142243417	850.3982119058196	95.31735895157708							2	2	2
1	3			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	16207	179.0	92.0	1.0	2697.7940000000153	0.4814127222230473	0	69.33147285622545	35.22648965381086	0.004277872083434654	0.0021735354879873423	0.004028381779789925	0.0020904859993606806	0.0008533896985043954	0.00025988755998380053	243.19158388350712	82.3048682667983							3	3	3
1	4			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	22440	447.0	243.0	1.0	2340.6740000000054	0.4898761119903945	0	105.11241521686316	51.868406183086336	0.004684153975796041	0.0023114263004940434	0.004730296786874533	0.0023041123058646917	0.0009567046686776627	0.00026645209017557954	446.40450089126557	184.43832442067736							4	4	4
1	5			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	20687	681.0	46.0	1.0	2688.2460000000187	0.48634669863995955	0	103.43174071284011	44.72510871011764	0.004999842447568043	0.002161991043172893	0.005127031356096268	0.0021057450212538242	0.0009708105382350792	0.00025275689546966823	665.700343210712	122.25305747570938							5	5	5
1	6			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	458	1045.0	221.0	1.0	748.4039999999969	0.04686141095820331	0	1.8725872011855245	0.6822156098205596	0.004088618343199835	0.001489553733232663	0.004074159078299999	0.0014801251236349344	0.0005539946416635668	5.453519042530199e-05	1090.532751091703	215.06331877729258							6	6	6
1	7			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	25211	913.0	232.0	1.0	1673.8279999999943	0.6651891136000846	0	100.7504555794876	74.80480679892935	0.003996289539466407	0.0029671495299246104	0.003997863736003637	0.002944991225376725	0.0007838667784131934	0.0006279082493489008	842.0217365435723	247.42759113085557							7	7	7
1	8			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	15028	140.0	307.0	1.0	2422.228000000004	0.4733079273093761	0	64.3694069867488	32.017502090660855	0.0042832983089398985	0.0021305231628068176	0.004257267341017723	0.002121004043146968	0.0005336409109965327	0.00016965001565381104	195.37490018631888	291.6018099547511							8	8	8
1	9			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	540	1237.0	337.0	1.0	884.3079999999965	0.04118836047442889	0	2.2746166503056884	0.8873121230863035	0.0042122530561216455	0.0016431705983079694	0.00396734569221735	0.001632715342566371	0.0010162554148595029	9.962495798283335e-05	1300.601851851852	381.85555555555555							9	9	9
1	10			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	7547	64.0	535.0	1.0	2225.202000000001	0.3109344100197759	0	37.44788362714462	14.928541996981949	0.0049619562246117155	0.001978076321317338	0.005050736479461193	0.001983672846108675	0.0007211257528771894	0.00013606481297506043	83.50284881409831	519.7408241685438							10	10	10
1	11			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	10958	727.0	435.0	1.0	2471.1000000000117	0.3709860347016504	0	62.634135705651715	22.126436250284314	0.00571583643964699	0.002019203892159547	0.0057068741880357265	0.0020141908898949623	0.0006134608933773686	0.0001315442125107116	719.8546267567074	501.4810184340208							11	11	11
1	12			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	519	1334.0	602.0	1.0	862.6139999999966	0.04100011849745229	0	2.1253986805677414	0.8358129241969436	0.004095180502057305	0.0016104295263910282	0.004135195165872574	0.0016021972987800837	0.0004302588086729675	6.949424314586074e-05	1275.3487475915222	582.7899807321772							12	12	12
1	13			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	100	A01	A01	414	540.0	607.0	1.0	689.7039999999976	0.05104808877928481	0	1.947325900895521	0.682154573732987	0.004703685750955365	0.0016477163616738818	0.004577706567943096	0.0016479743644595146	0.0006624254049250517	7.389433225088413e-05	586.7198067632851	616.8768115942029							13	13	13
